lsm6dsr_accelerometer.x,lsm6dsr_accelerometer.y,lsm6dsr_accelerometer.z,lsm6dsr_gyroscope.x,lsm6dsr_gyroscope.y,lsm6dsr_gyroscope.z
-0.30927232,1.6151553,9.690333,-0.02855795,-0.12965615,0.017715093
-0.07597212,1.8430717,10.321441,0.21319197,-0.20204368,0.084146686
0.43728834,2.2677977,10.852647,0.5349652,-0.051618114,-0.034055736
0.0059820567,3.4564323,12.046067,0.903317,0.24358252,-0.18875736
0.9529416,4.3890347,13.897514,1.622,-0.23671028,-0.6986771
2.1248264,4.8418765,12.461821,1.9520199,-1.2308935,-1.8258762
2.105684,3.1088748,8.268398,0.95004815,-1.0074695,-2.308918
1.1114662,1.4979069,7.7533436,-0.39950588,0.027030786,-1.6665931
0.55812585,0.69212395,8.166105,-1.2046263,0.29016098,-1.1239921
-1.6779668,0.80578303,6.5078793,-2.0040963,0.28512135,-0.038789943
-1.6851454,1.7389839,7.271788,-2.2608123,0.65668017,0.6398814
-0.8991031,2.024328,8.377272,-1.53205,1.1128438,1.019076
-0.66400826,1.9172492,8.990433,-0.23930646,0.46975538,1.2082914
-0.73100734,1.9986051,8.976076,1.0584768,-0.07467828,1.1830933
-0.2853441,2.2360928,8.478369,1.3794864,0.5832236,0.8199339
-1.1306087,3.0675986,6.2793646,0.8894198,0.8547532,0.18096884
-1.3860425,3.9690945,6.291329,0.13942999,-0.8242099,-0.2264783
-1.3268201,3.0215368,8.269595,0.11438452,-1.1345295,-0.24083363
-0.50189453,2.955136,8.816355,0.023518313,0.07467828,-0.071318515
