accelerometer x,accelerometer y,accelerometer z,gyroscope x,gyroscope y,gyroscope z
-1.2258313,-4.5166616,-1.7250223,0.72199994,0.37559658,-0.714303
-4.770447,-3.2692823,4.1958385,1.9779388,0.5044892,-0.48522857
-3.277662,-10.374076,1.22224,1.6480716,-0.9744156,0.7481083
-3.0334535,-7.7560163,1.1336545,0.7696475,-0.24382074,0.2019948
-4.923676,-9.287108,-4.5406036,1.45626,-1.3311609,0.7621583
3.9217024,-15.705963,-3.3315318,-0.06784882,-0.2890248,-0.088166185
-11.494562,-15.128961,4.4113164,-3.561387,0.74333745,-1.9262596
-6.813898,-9.491813,-0.19273324,-3.439214,0.88444734,-1.1034242
-3.2154129,-6.7767878,1.7741034,-4.2706017,-2.8784823,-0.56464106
-1.3958195,-1.6172832,0.015562311,2.0194778,-1.3494868,-0.15352876
-1.7645266,-15.085865,-10.02572,0.2852313,-1.4728817,-0.37954888
-6.421249,-4.712986,-5.732916,1.5613288,0.73112017,-0.91466683
-5.923255,-10.564415,-1.2018893,4.765317,2.6510696,1.7175515
-0.8619126,-8.834604,-0.19991584,1.5307854,-0.49855155,0.42862582
-5.1080294,-8.297106,0.5758055,1.7678012,-0.52359706,0.38097835
4.26527,-15.704766,-3.0226796,0.32432666,0.94064695,0.5104818
-8.813056,-17.11974,0.29568392,-3.6860037,0.89177775,-2.1315105
-8.604761,-8.48984,-1.352724,-2.1802208,1.965068,-1.3514355
-1.9692309,-5.7724204,0.45489833,-3.9798298,-2.4478223,-0.9653687
-3.072958,0.7733272,3.8546648,-0.24011281,-2.6347473,0.02240043
-12.5743475,-22.420502,-30.123846,-0.8308195,-0.28230527,0.21115778
-12.843695,-13.8959465,14.330494,2.312693,2.1770384,1.2685655
-6.194997,-7.800309,3.8391025,4.084813,1.3096095,1.3742453
2.4037786,-7.6351094,3.1268275,0.8185167,-2.8228936,0.28446162
-3.4955344,-7.620744,2.1308396,0.8203493,-0.050787337,0.34982422
-2.541445,-10.782288,-3.9600096,1.0256,1.2039299,0.73589104
-4.3897686,-12.24275,-4.8506527,-1.785602,2.7891252,-1.965355
-8.14268,-10.552444,2.6539726,-1.3622723,2.491634,0.44389746
-2.574964,-6.194997,0.30765492,-3.1142337,-0.030017918,-1.6202163
-4.1000705,-0.5518635,2.3989902,-1.6646506,-2.2920518,-0.4216986
-3.5098996,-15.533581,-22.5043,2.3249104,-0.43502158,0.21909903
-4.462792,-7.920019,3.157952,0.89304227,3.4800138,-0.1969002
-8.220491,-9.834184,6.0202203,4.0512156,3.6046305,1.4157841
-1.5227122,-8.504205,-0.89782566,1.2846068,-2.350084,0.9386983
-3.3758245,-8.965088,-3.110068,0.98711544,0.057946675,0.41091073
-4.346673,-9.594764,-6.1926026,1.5032966,-0.7319021,0.57889867
4.6603136,-12.459426,-6.045359,-0.98475754,1.0225029,-0.67215335
-13.88637,-15.374366,10.311827,-3.1014056,0.0041905367,0.04500244
-3.3901896,-7.2987237,-1.4652514,-2.8246837,1.3957416,-1.1412978
-3.7122097,-3.1471782,3.4859576,-2.8784397,-2.0067778,-0.6568817
-0.36990416,-5.1547165,-6.849811,3.1984477,-1.8137444,-0.34900564
-1.9309237,-3.2992098,-7.961918,-1.3696027,-0.7209065,-1.3636528
-6.5936313,-6.7085533,5.213374,2.477016,0.88933426,-0.51149577
-3.5901055,-12.08593,-2.2373815,2.8691914,-0.53825784,0.9649655
-1.7561469,-7.8158712,-2.1679497,1.6431847,-0.38676322,0.57645524
-6.5708866,-9.406818,-2.3511062,1.5869851,-0.36538294,0.5477446
5.303157,-17.130512,-0.36511576,-0.50706095,-1.0220631,0.5642379
-13.025655,-16.463728,-0.34356794,-2.9755673,1.5008104,-2.1993165
-4.995502,-9.26197,-1.484405,-1.8344711,2.1666536,-0.927495
-1.5825673,-5.3606176,3.952827,-4.324969,-3.1631455,-0.094274834
-0.79248077,-0.11252748,1.8375498,1.601035,-2.3586361,-0.0038667768
