accelerometer x,y,z,gyro x,y,z
-1.779085603,2.976106938,2.751107803,-0.1134087592,1.438918829,0.3903794885
-1.821928281,3.113272013,2.870973954,-0.1948345304,1.532445192,0.355796963
-1.733257187,3.184994018,2.750526789,-0.1995464563,1.465335965,0.3092675507
-1.914166565,3.075416622,2.506741413,-0.1131955013,1.231561184,0.2148366123
-2.081163446,2.730339448,2.477310736,0.05344328284,1.026443362,0.08170012385
-2.03612925,2.437571431,2.723396205,0.2332886755,0.8062951565,-0.06079932675
-1.773019727,2.270665005,3.23049934,0.3731941283,0.57567662,-0.1796434224
-1.551271411,2.14566646,3.857109728,0.4259293079,0.3886767328,-0.2940048575
-1.495622589,2.132761678,4.5603825,0.3560650051,0.2462623119,-0.402133733
-1.365649032,2.130381505,5.175103713,0.1910413206,0.1641159952,-0.4992824495
-1.176402179,2.097495426,5.41634408,-0.01643090509,0.1434485316,-0.5730293989
